nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,pullrequestsCount,medianBugFixTime,clossedIssues
sqlmapproject/sqlmap,https://github.com/sqlmapproject/sqlmap,26933,116,1,10069,350.0,17.389305555555556,1001.0
explosion/spaCy,https://github.com/explosion/spaCy,26064,647,16,15902,3739.0,196.1923611111111,758.0
facebookresearch/Detectron,https://github.com/facebookresearch/Detectron,25738,77,0,142,100.0,85.89111111111112,5.0
encode/django-rest-framework,https://github.com/encode/django-rest-framework,25495,1209,8,8679,4524.0,304.3393055555556,321.0
ray-project/ray,https://github.com/ray-project/ray,25490,822,1063,17221,21215.0,98.36402777777778,4597.0
acheong08/ChatGPT,https://github.com/acheong08/ChatGPT,25320,122,0,1467,328.0,24.0125,276.0
huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,25139,220,8,1860,342.0,18.117222222222225,246.0
python-poetry/poetry,https://github.com/python-poetry/poetry,24947,469,0,2838,2354.0,0.0,0.0
facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,24766,230,5,1465,608.0,31.48777777777778,22.0
ycm-core/YouCompleteMe,https://github.com/ycm-core/YouCompleteMe,24749,162,0,3090,960.0,1095.6788888888889,16.0
tqdm/tqdm,https://github.com/tqdm/tqdm,24719,109,0,1940,512.0,0.0,0.0
streamlit/streamlit,https://github.com/streamlit/streamlit,24532,177,0,5500,3325.0,0.0,0.0
google/python-fire,https://github.com/google/python-fire,24491,63,10,287,162.0,1937.040555555556,23.0
Ebazhanov/linkedin-skill-assessments-quizzes,https://github.com/Ebazhanov/linkedin-skill-assessments-quizzes,24478,1363,1,6025,4824.0,0.0,0.0
microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,24241,221,260,1513,1754.0,167.305,446.0
open-mmlab/mmdetection,https://github.com/open-mmlab/mmdetection,24092,398,30,2539,2874.0,467.3730555555556,171.0
pypa/pipenv,https://github.com/pypa/pipenv,23828,440,0,8303,1686.0,0.0,0.0
littlecodersh/ItChat,https://github.com/littlecodersh/ItChat,23797,19,3,188,107.0,45.16138888888889,63.0
THUDM/ChatGLM-6B,https://github.com/THUDM/ChatGLM-6B,23486,48,1,325,95.0,256.93527777777774,2.0
beurtschipper/Depix,https://github.com/beurtschipper/Depix,23456,10,0,54,28.0,0.0,0.0
numpy/numpy,https://github.com/numpy/numpy,23449,1479,0,32271,12275.0,0.0,0.0
getredash/redash,https://github.com/getredash/redash,23104,392,45,7314,3662.0,100.82194444444444,256.0
google/jax,https://github.com/google/jax,23046,515,424,16017,9886.0,16.571805555555557,1267.0
matterport/Mask_RCNN,https://github.com/matterport/Mask_RCNN,23026,46,0,203,278.0,0.0,0.0
Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,22908,846,193,9247,8885.0,94.34972222222224,2403.0
nicolargo/glances,https://github.com/nicolargo/glances,22765,149,22,4835,667.0,326.9273611111111,465.0
microsoft/cascadia-code,https://github.com/microsoft/cascadia-code,22453,10000,0,196,94.0,0.0,0.0
deezer/spleeter,https://github.com/deezer/spleeter,22431,17,61,530,111.0,88.76597222222222,245.0
eriklindernoren/ML-From-Scratch,https://github.com/eriklindernoren/ML-From-Scratch,22139,6,0,374,35.0,0.0,0.0
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq,21955,341,369,2288,1252.0,94.31319444444443,317.0
OpenBB-finance/OpenBBTerminal,https://github.com/OpenBB-finance/OpenBBTerminal,21906,191,43,5361,3068.0,41.25819444444444,1193.0
python-telegram-bot/python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,21852,198,0,2566,1486.0,0.0,0.0
sebastianruder/NLP-progress,https://github.com/sebastianruder/NLP-progress,21603,289,0,791,535.0,0.0,0.0
freqtrade/freqtrade,https://github.com/freqtrade/freqtrade,21571,265,0,20813,4793.0,19.933888888888887,375.0
celery/celery,https://github.com/celery/celery,21468,1059,0,12186,2926.0,0.0,0.0
chubin/wttr.in,https://github.com/chubin/wttr.in,21463,164,19,1256,291.0,5918.587361111111,18.0
locustio/locust,https://github.com/locustio/locust,21282,245,6,3979,897.0,169.84416666666667,424.0
tornadoweb/tornado,https://github.com/tornadoweb/tornado,21101,369,0,4581,1489.0,0.0,0.0
vnpy/vnpy,https://github.com/vnpy/vnpy,20808,119,0,6554,1421.0,405.6538888888889,310.0
jumpserver/jumpserver,https://github.com/jumpserver/jumpserver,20454,94,0,9336,5416.0,0.0,0.0
xinntao/Real-ESRGAN,https://github.com/xinntao/Real-ESRGAN,20212,11,0,137,65.0,0.0,0.0
karpathy/nanoGPT,https://github.com/karpathy/nanoGPT,20115,28,0,176,99.0,0.0,0.0
microsoft/JARVIS,https://github.com/microsoft/JARVIS,20100,25,0,74,45.0,0.0,0.0
junyanz/pytorch-CycleGAN-and-pix2pix,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,19845,63,0,525,144.0,0.0,0.0
heartexlabs/labelImg,https://github.com/heartexlabs/labelImg,19772,99,3,449,242.0,9056.760833333334,6.0
cookiecutter/cookiecutter,https://github.com/cookiecutter/cookiecutter,19505,253,23,2962,1038.0,213.1220833333333,58.0
Textualize/textual,https://github.com/Textualize/textual,19216,76,18,6143,1078.0,119.9648611111111,135.0
lm-sys/FastChat,https://github.com/lm-sys/FastChat,19078,53,6,213,285.0,100.84416666666668,9.0
openai/gpt-2,https://github.com/openai/gpt-2,18999,22,0,57,70.0,0.0,0.0
plotly/dash,https://github.com/plotly/dash,18646,164,12,6782,936.0,189.3518055555556,22.0
kovidgoyal/kitty,https://github.com/kovidgoyal/kitty,18614,229,3,12092,1158.0,2.2294444444444443,1633.0
magenta/magenta,https://github.com/magenta/magenta,18447,149,0,1420,1128.0,0.0,0.0
saleor/saleor,https://github.com/saleor/saleor,18421,237,222,20398,8052.0,184.3498611111111,725.0
jina-ai/jina,https://github.com/jina-ai/jina,18302,176,0,8296,3971.0,0.0,0.0
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,17900,99,0,570,212.0,197.5313888888889,4.0
d2l-ai/d2l-en,https://github.com/d2l-ai/d2l-en,17766,306,1,6334,2116.0,95.15,7.0
jhao104/proxy_pool,https://github.com/jhao104/proxy_pool,17749,47,0,644,177.0,3135.5451388888887,4.0
zulip/zulip,https://github.com/zulip/zulip,17748,1753,337,51387,17491.0,305.33388888888885,1829.0
chriskiehl/Gooey,https://github.com/chriskiehl/Gooey,17565,87,3,743,290.0,3249.6359722222223,8.0
pyg-team/pytorch_geometric,https://github.com/pyg-team/pytorch_geometric,17560,399,114,6644,1996.0,22.22833333333333,308.0
bokeh/bokeh,https://github.com/bokeh/bokeh,17557,573,189,20095,5694.0,81.82083333333333,2156.0
Vonng/ddia,https://github.com/Vonng/ddia,17458,93,0,770,240.0,39.14805555555556,1.0
matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,17354,1288,0,47103,16377.0,0.0,0.0
sanic-org/sanic,https://github.com/sanic-org/sanic,17040,291,18,2782,1451.0,356.3786111111111,105.0
nginx-proxy/nginx-proxy,https://github.com/nginx-proxy/nginx-proxy,17037,124,0,1024,605.0,0.0,0.0
pyscript/pyscript,https://github.com/pyscript/pyscript,16553,112,27,892,728.0,228.0186111111111,130.0
AnthonyCalandra/modern-cpp-features,https://github.com/AnthonyCalandra/modern-cpp-features,16549,35,0,169,71.0,501.3005555555556,3.0
spotify/luigi,https://github.com/spotify/luigi,16523,527,1,4078,2270.0,11648.847916666666,24.0
jantic/DeOldify,https://github.com/jantic/DeOldify,16515,37,0,517,116.0,0.0,0.0
ungoogled-software/ungoogled-chromium,https://github.com/ungoogled-software/ungoogled-chromium,16513,74,20,2064,449.0,75.06888888888889,153.0
mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,16377,222,1,1852,1129.0,1173.5518055555556,180.0
RasaHQ/rasa,https://github.com/RasaHQ/rasa,16202,488,0,31737,5722.0,0.0,0.0
huggingface/datasets,https://github.com/huggingface/datasets,16112,593,126,3416,3543.0,40.09333333333333,537.0
quantopian/zipline,https://github.com/quantopian/zipline,16112,129,15,6226,1867.0,1572.0570833333334,52.0
Jack-Cherish/python-spider,https://github.com/Jack-Cherish/python-spider,16101,8,0,338,43.0,0.0,0.0
mindsdb/mindsdb,https://github.com/mindsdb/mindsdb,16041,542,39,11488,3109.0,171.5126388888889,599.0
kholia/OSX-KVM,https://github.com/kholia/OSX-KVM,16036,32,0,25,143.0,0.0,0.0
openai/chatgpt-retrieval-plugin,https://github.com/openai/chatgpt-retrieval-plugin,16030,388,0,73,116.0,0.0,0.0
