nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,pullrequestsCount
Ebazhanov/linkedin-skill-assessments-quizzes,https://github.com/Ebazhanov/linkedin-skill-assessments-quizzes,24478,1363,1,6025
microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,24241,221,260,1513
open-mmlab/mmdetection,https://github.com/open-mmlab/mmdetection,24092,398,30,2539
pypa/pipenv,https://github.com/pypa/pipenv,23828,440,0,8303
littlecodersh/ItChat,https://github.com/littlecodersh/ItChat,23797,19,3,188
THUDM/ChatGLM-6B,https://github.com/THUDM/ChatGLM-6B,23486,48,1,325
beurtschipper/Depix,https://github.com/beurtschipper/Depix,23456,10,0,54
numpy/numpy,https://github.com/numpy/numpy,23449,1479,0,32271
getredash/redash,https://github.com/getredash/redash,23104,392,45,7314
google/jax,https://github.com/google/jax,23046,515,424,16017
matterport/Mask_RCNN,https://github.com/matterport/Mask_RCNN,23026,46,0,203
Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,22908,846,193,9247
nicolargo/glances,https://github.com/nicolargo/glances,22765,149,22,4835
microsoft/cascadia-code,https://github.com/microsoft/cascadia-code,22453,10000,0,196
deezer/spleeter,https://github.com/deezer/spleeter,22431,17,61,530
eriklindernoren/ML-From-Scratch,https://github.com/eriklindernoren/ML-From-Scratch,22139,6,0,374
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq,21955,341,369,2288
OpenBB-finance/OpenBBTerminal,https://github.com/OpenBB-finance/OpenBBTerminal,21906,191,43,5361
python-telegram-bot/python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,21852,198,0,2566
sebastianruder/NLP-progress,https://github.com/sebastianruder/NLP-progress,21603,289,0,791
freqtrade/freqtrade,https://github.com/freqtrade/freqtrade,21571,265,0,20813
celery/celery,https://github.com/celery/celery,21468,1059,0,12186
chubin/wttr.in,https://github.com/chubin/wttr.in,21463,164,19,1256
locustio/locust,https://github.com/locustio/locust,21282,245,6,3979
tornadoweb/tornado,https://github.com/tornadoweb/tornado,21101,369,0,4581
vnpy/vnpy,https://github.com/vnpy/vnpy,20808,119,0,6554
