nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada,CommitsPerPullrequests,CycleComplexity,CodeSmell,medianBugFixTime,total_issues
3b1b/manim,https://github.com/3b1b/manim,51140,146,47,5774,72.0,781.0,Python,NaoTipada,7.393085787451985,3221.0,171.0,34.58680555555556,119.0
psf/requests,https://github.com/psf/requests,49500,625,12,6151,117.0,2395.0,Python,NaoTipada,2.568267223382046,1171.0,104.0,970.7854166666668,129.0
ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,48176,51,0,238,0.0,214.0,Python,NaoTipada,1.1121495327102804,242.0,26.0,0.0,0.0
soimort/you-get,https://github.com/soimort/you-get,47308,224,0,2512,0.0,1045.0,Python,NaoTipada,2.403827751196172,2360.0,740.0,0.0,0.0
scrapy/scrapy,https://github.com/scrapy/scrapy,47120,519,75,9781,246.0,3066.0,Python,NaoTipada,3.190150032615786,6936.0,817.0,419.58930555555554,321.0
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,46941,1114,67,21670,496.0,1952.0,Python,NaoTipada,11.101434426229508,22190.0,1715.0,18.01083333333333,563.0
deepfakes/faceswap,https://github.com/deepfakes/faceswap,44774,87,2,1723,33.0,503.0,Python,NaoTipada,3.42544731610338,8354.0,277.0,338.5086111111111,35.0
d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh,43299,258,0,4096,0.0,1258.0,Python,NaoTipada,3.2559618441971385,1723.0,326.0,0.0,0.0
Textualize/rich,https://github.com/Textualize/rich,43194,215,0,3760,70.0,961.0,Python,NaoTipada,3.9125910509885538,3715.0,416.0,74.10611111111112,70.0
CorentinJ/Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning,41591,18,1,296,5.0,117.0,Python,NaoTipada,2.52991452991453,768.0,111.0,1148.0819444444444,6.0
sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,41023,195,9,2097,135.0,875.0,Python,NaoTipada,2.3965714285714284,162.0,39.0,393.0865277777778,144.0
commaai/openpilot,https://github.com/commaai/openpilot,39283,449,94,9248,720.0,9046.0,Python,NaoTipada,1.0223303117399956,8538.0,1649.0,62.023333333333326,814.0
iperov/DeepFaceLab,https://github.com/iperov/DeepFaceLab,39132,19,0,1313,0.0,123.0,Python,NaoTipada,10.67479674796748,3656.0,640.0,0.0,0.0
nomic-ai/gpt4all,https://github.com/nomic-ai/gpt4all,38516,27,0,267,2.0,77.0,Python,NaoTipada,3.467532467532468,194.0,22.0,23.779027777777777,2.0
ultralytics/yolov5,https://github.com/ultralytics/yolov5,38234,311,48,2647,1208.0,2445.0,Python,NaoTipada,1.082617586912065,2525.0,266.0,980.4016666666666,1256.0
hwchase17/langchain,https://github.com/hwchase17/langchain,36506,658,3,1831,2.0,2814.0,Python,NaoTipada,0.6506751954513148,7246.0,377.0,379.4484722222222,5.0
openai/whisper,https://github.com/openai/whisper,35709,62,0,115,0.0,144.0,Python,NaoTipada,0.7986111111111112,554.0,34.0,0.0,0.0
apachecn/ailearning,https://github.com/apachecn/ailearning,35368,101,0,233,0.0,528.0,Python,NaoTipada,0.4412878787878788,2349.0,2415.0,0.0,0.0
chubin/cheat.sh,https://github.com/chubin/cheat.sh,35258,51,5,901,3.0,153.0,Python,NaoTipada,5.888888888888889,970.0,74.0,299.51222222222225,8.0
google-research/bert,https://github.com/google-research/bert,34172,31,0,111,0.0,199.0,Python,NaoTipada,0.5577889447236181,689.0,44.0,0.0,0.0
getsentry/sentry,https://github.com/getsentry/sentry,34122,720,51,53574,171.0,41063.0,Python,NaoTipada,1.3046781774346736,60389.0,7022.0,324.2225,222.0
binary-husky/gpt_academic,https://github.com/binary-husky/gpt_academic,32629,39,10,897,11.0,76.0,Python,NaoTipada,11.802631578947368,3306.0,2168.0,119.83166666666666,21.0
