RepoName,CycleComplexity,CodeSmell
cryptomator/cryptomator,2176,271
metersphere/metersphere,87000,14992
navasmdc/MaterialDesignLibrary,528,122
jwtk/jjwt,1307,295
GcsSloop/AndroidNote,62,15
nathanmarz/storm,12778,6272
Justson/AgentWeb,2285,577
barry-ran/QtScrcpy,755,51
hackware1993/MagicIndicator,852,79
bilibili/DanmakuFlameMaster,2426,616
pockethub/PocketHub,2843,249
MyCATApache/Mycat-Server,21027,5881
koral--/android-gif-drawable,780,17
lzyzsd/JsBridge,248,96
lihengming/spring-boot-api-project-seed,87,41
asLody/VirtualApp,7944,3595
didi/VirtualAPK,1333,700
crossoverJie/cim,1107,375
