nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada,CommitsPerPullrequests,CycleComplexity,CodeSmell,medianBugFixTime,total_issues
TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe,23608,788,453,10698.0,1920.0,1964.0,Java,Tipada,5.44704684317719,10507,601,357.23513888888886,2373.0
signalapp/Signal-Android,https://github.com/signalapp/Signal-Android,23589,306,0,12247.0,0.0,2674.0,Java,Tipada,4.580029917726253,66945,5946,0.0,0.0
Netflix/Hystrix,https://github.com/Netflix/Hystrix,23347,663,7,2109.0,73.0,805.0,Java,Tipada,2.619875776397516,7346,2746,870.3719444444445,80.0
google/gson,https://github.com/google/gson,22085,156,58,1815.0,73.0,796.0,Java,Tipada,2.280150753768844,4630,1175,440.0733333333333,131.0
DrKLO/Telegram,https://github.com/DrKLO/Telegram,22033,16,0,499.0,0.0,603.0,Java,Tipada,0.8275290215588723,237695,46313,0.0,0.0
apache/skywalking,https://github.com/apache/skywalking,21743,453,8,7582.0,908.0,4685.0,Java,Tipada,1.6183564567769475,12911,3315,0.6776388888888889,916.0
libgdx/libgdx,https://github.com/libgdx/libgdx,21457,549,45,15223.0,350.0,3502.0,Java,Tipada,4.346944603083952,64887,49774,3552.2904166666667,395.0
termux/termux-app,https://github.com/termux/termux-app,21442,75,0,1428.0,301.0,309.0,Java,Tipada,4.621359223300971,5576,934,1.56875,301.0
apache/flink,https://github.com/apache/flink,21181,1146,0,33264.0,0.0,22562.0,Java,Tipada,1.4743373814378158,226444,33710,0.0,0.0
redisson/redisson,https://github.com/redisson/redisson,21079,124,4,7932.0,927.0,553.0,Java,Tipada,14.343580470162747,42627,10344,74.76416666666665,931.0
alibaba/Sentinel,https://github.com/alibaba/Sentinel,20919,191,0,803.0,0.0,977.0,Java,Tipada,0.8219037871033776,12250,2104,0.0,0.0
bazelbuild/bazel,https://github.com/bazelbuild/bazel,20755,889,0,35791.0,2966.0,6505.0,Java,Tipada,5.502075326671791,119233,28885,184.82291666666669,2966.0
