nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount
react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,22405,185,588,2627
t4t5/sweetalert,https://github.com/t4t5/sweetalert,22244,62,3,363
marmelab/react-admin,https://github.com/marmelab/react-admin,22075,549,44,16475
conwnet/github1s,https://github.com/conwnet/github1s,21929,43,0,351
withfig/autocomplete,https://github.com/withfig/autocomplete,21924,389,11,4267
homebridge/homebridge,https://github.com/homebridge/homebridge,21889,108,9,1455
colinhacks/zod,https://github.com/colinhacks/zod,21842,223,0,1828
backstage/backstage,https://github.com/backstage/backstage,21786,1091,115,40368
felixrieseberg/windows95,https://github.com/felixrieseberg/windows95,21780,16,0,197
react-bootstrap/react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,21697,469,20,4457
directus/directus,https://github.com/directus/directus,21485,303,94,10285
reworkd/AgentGPT,https://github.com/reworkd/AgentGPT,21451,36,17,573
TanStack/table,https://github.com/TanStack/table,21404,365,0,2155
youzan/vant,https://github.com/youzan/vant,21284,287,0,9498
electron-react-boilerplate/electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,21268,158,19,1110
refined-github/refined-github,https://github.com/refined-github/refined-github,21049,294,49,3436
lensapp/lens,https://github.com/lensapp/lens,20992,108,417,3913
jhipster/generator-jhipster,https://github.com/jhipster/generator-jhipster,20562,687,0,45071
BabylonJS/Babylon.js,https://github.com/BabylonJS/Babylon.js,20539,475,0,39911
Molunerfinn/PicGo,https://github.com/Molunerfinn/PicGo,20502,15,8,501
tailwindlabs/headlessui,https://github.com/tailwindlabs/headlessui,20451,77,0,595
novuhq/novu,https://github.com/novuhq/novu,20446,276,8,10928
expo/expo,https://github.com/expo/expo,20333,1025,8,18076
jquense/yup,https://github.com/jquense/yup,20326,154,6,751
recharts/recharts,https://github.com/recharts/recharts,20241,249,64,2247
oldj/SwitchHosts,https://github.com/oldj/SwitchHosts,20162,35,0,1316
Redocly/redoc,https://github.com/Redocly/redoc,20105,239,56,2520
lensterxyz/lenster,https://github.com/lensterxyz/lenster,20039,75,19,5884
palantir/blueprint,https://github.com/palantir/blueprint,19805,379,188,2910
jitsi/jitsi-meet,https://github.com/jitsi/jitsi-meet,19679,418,0,11426
calcom/cal.com,https://github.com/calcom/cal.com,19520,260,0,5595
graphql/graphql-js,https://github.com/graphql/graphql-js,19507,200,10,3355
railsware/upterm,https://github.com/railsware/upterm,19337,107,0,2998
mantinedev/mantine,https://github.com/mantinedev/mantine,19312,373,0,10251
GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,19301,232,187,6322
outline/outline,https://github.com/outline/outline,19289,130,29,5164
react-dnd/react-dnd,https://github.com/react-dnd/react-dnd,19198,201,3,2229
pubkey/rxdb,https://github.com/pubkey/rxdb,19181,186,0,9215
ueberdosis/tiptap,https://github.com/ueberdosis/tiptap,18959,232,171,5811
fingerprintjs/fingerprintjs,https://github.com/fingerprintjs/fingerprintjs,18950,88,5,751
reduxjs/reselect,https://github.com/reduxjs/reselect,18890,94,1,735
wenyan-lang/wenyan,https://github.com/wenyan-lang/wenyan,18879,56,1,915
GoogleChromeLabs/squoosh,https://github.com/GoogleChromeLabs/squoosh,18772,73,3,1459
apollographql/apollo-client,https://github.com/apollographql/apollo-client,18689,748,0,11633
framer/motion,https://github.com/framer/motion,18575,76,158,4588
elastic/kibana,https://github.com/elastic/kibana,18457,2320,1760,63156
Budibase/budibase,https://github.com/Budibase/budibase,18242,75,169,31322
alan2207/bulletproof-react,https://github.com/alan2207/bulletproof-react,18144,28,0,162
eclipse-theia/theia,https://github.com/eclipse-theia/theia,18060,296,373,6464
medusajs/medusa,https://github.com/medusajs/medusa,17993,147,57,3475
GrapesJS/grapesjs,https://github.com/GrapesJS/grapesjs,17859,144,4,5361
reduxjs/redux-thunk,https://github.com/reduxjs/redux-thunk,17575,55,0,194
alibaba/ice,https://github.com/alibaba/ice,17543,113,74,2775
nrwl/nx,https://github.com/nrwl/nx,17482,705,326,9184
the1812/Bilibili-Evolved,https://github.com/the1812/Bilibili-Evolved,17449,34,41,7303
web3/web3.js,https://github.com/web3/web3.js,17432,240,40,3664
tensorflow/tfjs,https://github.com/tensorflow/tfjs,17320,345,0,5927
t3-oss/create-t3-app,https://github.com/t3-oss/create-t3-app,17287,233,0,1059
desktop/desktop,https://github.com/desktop/desktop,17195,370,157,34136
BuilderIO/qwik,https://github.com/BuilderIO/qwik,17155,342,150,2547
airbnb/visx,https://github.com/airbnb/visx,17107,152,0,3156
material-components/material-components-web,https://github.com/material-components/material-components-web,16772,388,151,7391
teambit/bit,https://github.com/teambit/bit,16623,72,0,11773
darkreader/darkreader,https://github.com/darkreader/darkreader,16620,1082,227,6744
nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,16438,536,6,2266
wulkano/Kap,https://github.com/wulkano/Kap,16427,53,22,905
fullcalendar/fullcalendar,https://github.com/fullcalendar/fullcalendar,16357,128,0,6357
sismo-core/sismo-badges,https://github.com/sismo-core/sismo-badges,16141,7,0,307
redis/node-redis,https://github.com/redis/node-redis,16141,224,66,1878
wechaty/wechaty,https://github.com/wechaty/wechaty,16131,85,22,7083
ustbhuangyi/better-scroll,https://github.com/ustbhuangyi/better-scroll,16067,37,0,2001
redwoodjs/redwood,https://github.com/redwoodjs/redwood,15955,361,0,8639
nhn/tui.editor,https://github.com/nhn/tui.editor,15925,125,231,361
toeverything/AFFiNE,https://github.com/toeverything/AFFiNE,15870,76,46,3054
remotion-dev/remotion,https://github.com/remotion-dev/remotion,15832,154,8,11140
yetone/openai-translator,https://github.com/yetone/openai-translator,15722,53,98,428
CopyTranslator/CopyTranslator,https://github.com/CopyTranslator/CopyTranslator,15652,9,6,770
Tencent/vConsole,https://github.com/Tencent/vConsole,15633,54,0,929
flatpickr/flatpickr,https://github.com/flatpickr/flatpickr,15554,244,15,2867
wangeditor-team/wangEditor,https://github.com/wangeditor-team/wangEditor,15486,45,38,2410
wbkd/react-flow,https://github.com/wbkd/react-flow,15456,64,1,3454
microsoft/fluentui,https://github.com/microsoft/fluentui,15393,796,0,16057
