nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada
cheeriojs/cheerio,https://github.com/cheeriojs/cheerio,26333,130,0,2536,0.0,2032.0,Typescript,Tipada
JedWatson/react-select,https://github.com/JedWatson/react-select,26094,423,0,4220,0.0,1702.0,Typescript,Tipada
angular/angular-cli,https://github.com/angular/angular-cli,26071,599,0,10446,0.0,10540.0,Typescript,Tipada
pmndrs/react-spring,https://github.com/pmndrs/react-spring,25631,185,0,3476,0.0,510.0,Typescript,Tipada
balena-io/etcher,https://github.com/balena-io/etcher,25489,85,0,3330,0.0,2001.0,Typescript,Tipada
trpc/trpc,https://github.com/trpc/trpc,25369,277,0,3080,0.0,3021.0,Typescript,Tipada
mattermost/mattermost-server,https://github.com/mattermost/mattermost-server,25344,766,0,16785,0.0,15852.0,Typescript,Tipada
floating-ui/floating-ui,https://github.com/floating-ui/floating-ui,25333,75,1,1808,293.0,970.0,Typescript,Tipada
AykutSarac/jsoncrack.com,https://github.com/AykutSarac/jsoncrack.com,23942,22,15,1049,48.0,107.0,Typescript,Tipada
Yidadaa/ChatGPT-Next-Web,https://github.com/Yidadaa/ChatGPT-Next-Web,23814,63,0,673,33.0,429.0,Typescript,Tipada
statelyai/xstate,https://github.com/statelyai/xstate,23703,313,37,5241,346.0,1677.0,Typescript,Tipada
react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,23616,379,0,2389,0.0,1609.0,Typescript,Tipada
vuejs/devtools,https://github.com/vuejs/devtools,23606,174,21,2082,108.0,420.0,Typescript,Tipada
pnpm/pnpm,https://github.com/pnpm/pnpm,23585,205,618,8280,934.0,2481.0,Typescript,Tipada
angular/components,https://github.com/angular/components,23490,699,0,10700,0.0,12880.0,Typescript,Tipada
remix-run/remix,https://github.com/remix-run/remix,23354,948,34,3991,332.0,2980.0,Typescript,Tipada
doczjs/docz,https://github.com/doczjs/docz,23261,135,3,1609,191.0,485.0,Typescript,Tipada
discordjs/discord.js,https://github.com/discordjs/discord.js,23057,459,49,7528,408.0,5121.0,Typescript,Tipada
reduxjs/react-redux,https://github.com/reduxjs/react-redux,22778,279,0,1139,11.0,730.0,Typescript,Tipada
codex-team/editor.js,https://github.com/codex-team/editor.js,22768,64,159,704,174.0,952.0,Typescript,Tipada
neoclide/coc.nvim,https://github.com/neoclide/coc.nvim,22735,234,4,5640,201.0,1133.0,Typescript,Tipada
vadimdemedes/ink,https://github.com/vadimdemedes/ink,22491,99,5,549,32.0,266.0,Typescript,Tipada
pmndrs/react-three-fiber,https://github.com/pmndrs/react-three-fiber,22449,204,18,2399,70.0,600.0,Typescript,Tipada
react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,22405,185,588,2627,2511.0,1672.0,Typescript,Tipada
t4t5/sweetalert,https://github.com/t4t5/sweetalert,22244,62,3,363,20.0,290.0,Typescript,Tipada
marmelab/react-admin,https://github.com/marmelab/react-admin,22075,549,44,16475,1001.0,4747.0,Typescript,Tipada
