nameWithOwner,url,stargazers,mentionableUsers,openIssues,closedIssues,commitsCount
pnpm/pnpm,https://github.com/pnpm/pnpm,23545,204,0,0,8273
angular/components,https://github.com/angular/components,23483,697,0,0,10689
remix-run/remix,https://github.com/remix-run/remix,23327,947,35,330,3988
doczjs/docz,https://github.com/doczjs/docz,23255,135,3,191,1609
Yidadaa/ChatGPT-Next-Web,https://github.com/Yidadaa/ChatGPT-Next-Web,23097,60,0,33,647
discordjs/discord.js,https://github.com/discordjs/discord.js,23032,458,47,406,7509
reduxjs/react-redux,https://github.com/reduxjs/react-redux,22773,279,0,11,1139
neoclide/coc.nvim,https://github.com/neoclide/coc.nvim,22727,234,4,201,5640
codex-team/editor.js,https://github.com/codex-team/editor.js,22725,64,159,174,704
NativeScript/NativeScript,https://github.com/NativeScript/NativeScript,22479,228,234,585,7240
pmndrs/react-three-fiber,https://github.com/pmndrs/react-three-fiber,22420,203,18,70,2398
react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,22400,185,584,2511,2627
t4t5/sweetalert,https://github.com/t4t5/sweetalert,22242,62,3,20,363
marmelab/react-admin,https://github.com/marmelab/react-admin,22058,548,43,1000,16462
withfig/autocomplete,https://github.com/withfig/autocomplete,21926,389,10,49,4261
conwnet/github1s,https://github.com/conwnet/github1s,21922,43,0,13,351
kriasoft/react-starter-kit,https://github.com/kriasoft/react-starter-kit,21889,10,0,24,55
homebridge/homebridge,https://github.com/homebridge/homebridge,21876,108,8,284,1455
felixrieseberg/windows95,https://github.com/felixrieseberg/windows95,21782,16,0,0,197
backstage/backstage,https://github.com/backstage/backstage,21752,1087,115,1643,40286
colinhacks/zod,https://github.com/colinhacks/zod,21750,222,0,0,1827
react-bootstrap/react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,21692,468,20,264,4456
directus/directus,https://github.com/directus/directus,21456,302,93,1528,10282
TanStack/table,https://github.com/TanStack/table,21379,365,0,0,2153
youzan/vant,https://github.com/youzan/vant,21272,287,0,0,9497
electron-react-boilerplate/electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,21257,158,19,343,1110
reworkd/AgentGPT,https://github.com/reworkd/AgentGPT,21097,35,18,19,524
refined-github/refined-github,https://github.com/refined-github/refined-github,21030,294,54,1371,3430
lensapp/lens,https://github.com/lensapp/lens,20985,108,416,1429,3897
vadimdemedes/ink,https://github.com/vadimdemedes/ink,20720,99,5,32,549
jhipster/generator-jhipster,https://github.com/jhipster/generator-jhipster,20551,686,0,0,44991
BabylonJS/Babylon.js,https://github.com/BabylonJS/Babylon.js,20502,474,0,759,39877
Molunerfinn/PicGo,https://github.com/Molunerfinn/PicGo,20471,15,8,217,500
novuhq/novu,https://github.com/novuhq/novu,20412,275,7,48,10877
tailwindlabs/headlessui,https://github.com/tailwindlabs/headlessui,20405,77,0,7,594
jquense/yup,https://github.com/jquense/yup,20310,154,6,22,751
expo/expo,https://github.com/expo/expo,20289,1025,8,1072,18059
recharts/recharts,https://github.com/recharts/recharts,20227,249,68,144,2244
oldj/SwitchHosts,https://github.com/oldj/SwitchHosts,20142,35,0,0,1316
Redocly/redoc,https://github.com/Redocly/redoc,20091,239,0,0,2520
lensterxyz/lenster,https://github.com/lensterxyz/lenster,19938,73,19,34,5870
palantir/blueprint,https://github.com/palantir/blueprint,19797,379,0,0,2906
jitsi/jitsi-meet,https://github.com/jitsi/jitsi-meet,19656,418,0,0,11416
graphql/graphql-js,https://github.com/graphql/graphql-js,19503,200,10,26,3354
calcom/cal.com,https://github.com/calcom/cal.com,19399,258,0,0,5581
railsware/upterm,https://github.com/railsware/upterm,19336,107,0,0,2998
GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,19292,232,187,312,6322
mantinedev/mantine,https://github.com/mantinedev/mantine,19248,373,0,0,10251
basarat/typescript-book,https://github.com/basarat/typescript-book,19247,233,1,1,1622
outline/outline,https://github.com/outline/outline,19239,129,29,1048,5148
react-dnd/react-dnd,https://github.com/react-dnd/react-dnd,19188,201,3,52,2229
pubkey/rxdb,https://github.com/pubkey/rxdb,19176,186,0,0,9215
fingerprintjs/fingerprintjs,https://github.com/fingerprintjs/fingerprintjs,18930,88,5,51,749
ueberdosis/tiptap,https://github.com/ueberdosis/tiptap,18924,232,0,0,5811
reduxjs/reselect,https://github.com/reduxjs/reselect,18887,94,1,1,735
wenyan-lang/wenyan,https://github.com/wenyan-lang/wenyan,18873,56,1,5,915
GoogleChromeLabs/squoosh,https://github.com/GoogleChromeLabs/squoosh,18763,73,3,14,1459
apollographql/apollo-client,https://github.com/apollographql/apollo-client,18685,748,0,0,11622
framer/motion,https://github.com/framer/motion,18544,76,157,724,4585
elastic/kibana,https://github.com/elastic/kibana,18449,2317,1777,15348,63052
Budibase/budibase,https://github.com/Budibase/budibase,18227,75,166,1611,31320
alan2207/bulletproof-react,https://github.com/alan2207/bulletproof-react,18095,28,0,0,162
eclipse-theia/theia,https://github.com/eclipse-theia/theia,18048,295,374,1351,6458
medusajs/medusa,https://github.com/medusajs/medusa,17962,147,0,0,3455
GrapesJS/grapesjs,https://github.com/GrapesJS/grapesjs,17840,144,4,146,5361
reduxjs/redux-thunk,https://github.com/reduxjs/redux-thunk,17575,55,0,0,194
alibaba/ice,https://github.com/alibaba/ice,17541,113,76,191,2764
nrwl/nx,https://github.com/nrwl/nx,17457,704,0,0,9158
the1812/Bilibili-Evolved,https://github.com/the1812/Bilibili-Evolved,17411,34,36,335,7303
web3/web3.js,https://github.com/web3/web3.js,17410,240,40,627,3657
tensorflow/tfjs,https://github.com/tensorflow/tfjs,17310,345,0,0,5922
t3-oss/create-t3-app,https://github.com/t3-oss/create-t3-app,17213,227,0,0,1049
desktop/desktop,https://github.com/desktop/desktop,17179,370,157,895,34125
airbnb/visx,https://github.com/airbnb/visx,17099,152,0,0,3156
BuilderIO/qwik,https://github.com/BuilderIO/qwik,16913,337,142,705,2515
ionic-team/ionicons,https://github.com/ionic-team/ionicons,16846,89,0,0,596
material-components/material-components-web,https://github.com/material-components/material-components-web,16766,388,151,590,7390
teambit/bit,https://github.com/teambit/bit,16616,72,0,0,11758
darkreader/darkreader,https://github.com/darkreader/darkreader,16597,1082,226,798,6743
wulkano/Kap,https://github.com/wulkano/Kap,16414,53,0,0,905
nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,16379,536,6,453,2266
fullcalendar/fullcalendar,https://github.com/fullcalendar/fullcalendar,16343,128,0,0,6353
sismo-core/sismo-badges,https://github.com/sismo-core/sismo-badges,16143,7,0,0,307
redis/node-redis,https://github.com/redis/node-redis,16135,224,65,427,1878
wechaty/wechaty,https://github.com/wechaty/wechaty,16099,85,22,180,7083
ustbhuangyi/better-scroll,https://github.com/ustbhuangyi/better-scroll,16063,37,0,18,2001
redwoodjs/redwood,https://github.com/redwoodjs/redwood,15954,361,0,0,8599
nhn/tui.editor,https://github.com/nhn/tui.editor,15918,125,231,378,361
remotion-dev/remotion,https://github.com/remotion-dev/remotion,15816,154,9,231,11060
toeverything/AFFiNE,https://github.com/toeverything/AFFiNE,15777,75,48,244,3024
CopyTranslator/CopyTranslator,https://github.com/CopyTranslator/CopyTranslator,15642,9,6,31,770
Tencent/vConsole,https://github.com/Tencent/vConsole,15627,54,0,1,929
yetone/openai-translator,https://github.com/yetone/openai-translator,15571,53,98,67,420
flatpickr/flatpickr,https://github.com/flatpickr/flatpickr,15548,244,15,49,2867
wangeditor-team/wangEditor,https://github.com/wangeditor-team/wangEditor,15473,45,38,303,2410
wbkd/react-flow,https://github.com/wbkd/react-flow,15390,64,1,31,3454
microsoft/fluentui,https://github.com/microsoft/fluentui,15385,795,0,0,16048
infinitered/ignite,https://github.com/infinitered/ignite,15250,193,8,170,2419
vueuse/vueuse,https://github.com/vueuse/vueuse,15126,466,0,22,2681
mattermost/focalboard,https://github.com/mattermost/focalboard,15032,276,236,1307,3583
airbnb/react-sketchapp,https://github.com/airbnb/react-sketchapp,14966,81,3,39,780
justadudewhohacks/face-api.js,https://github.com/justadudewhohacks/face-api.js,14966,22,6,4,488
xtermjs/xterm.js,https://github.com/xtermjs/xterm.js,14897,263,0,0,8651
graphql/graphiql,https://github.com/graphql/graphiql,14885,268,86,117,3638
learn-anything/learn-anything,https://github.com/learn-anything/learn-anything,14802,5,0,0,5
verdaccio/verdaccio,https://github.com/verdaccio/verdaccio,14730,278,0,0,4915
feathersjs/feathers,https://github.com/feathersjs/feathers,14582,211,2,57,3967
cyrildiagne/ar-cutpaste,https://github.com/cyrildiagne/ar-cutpaste,14518,6,0,0,50
sass/sass,https://github.com/sass/sass,14490,26,4,236,525
lit/lit,https://github.com/lit/lit,14464,155,0,0,2040
OI-wiki/OI-wiki,https://github.com/OI-wiki/OI-wiki,14367,707,0,0,11164
