nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,medianBugFixTime,clossedIssues,pullrequestsCount
balena-io/etcher,https://github.com/balena-io/etcher,25489,85,0,3330,0.0,0.0,2001.0
trpc/trpc,https://github.com/trpc/trpc,25369,277,0,3080,0.0,0.0,3021.0
mattermost/mattermost-server,https://github.com/mattermost/mattermost-server,25344,766,0,16785,0.0,0.0,15852.0
floating-ui/floating-ui,https://github.com/floating-ui/floating-ui,25333,75,1,1808,56.672916666666666,293.0,970.0
AykutSarac/jsoncrack.com,https://github.com/AykutSarac/jsoncrack.com,23942,22,15,1049,675.0383333333334,48.0,107.0
Yidadaa/ChatGPT-Next-Web,https://github.com/Yidadaa/ChatGPT-Next-Web,23814,63,0,673,20.70833333333333,33.0,429.0
statelyai/xstate,https://github.com/statelyai/xstate,23703,313,37,5241,72.65930555555556,346.0,1677.0
react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,23616,379,0,2389,0.0,0.0,1609.0
vuejs/devtools,https://github.com/vuejs/devtools,23606,174,21,2082,185.88583333333327,108.0,420.0
pnpm/pnpm,https://github.com/pnpm/pnpm,23585,205,618,8280,26.684444444444445,934.0,2481.0
angular/components,https://github.com/angular/components,23490,699,0,10700,0.0,0.0,12880.0
remix-run/remix,https://github.com/remix-run/remix,23354,948,34,3991,267.3272222222222,332.0,2980.0
doczjs/docz,https://github.com/doczjs/docz,23261,135,3,1609,1082.5629166666668,191.0,485.0
discordjs/discord.js,https://github.com/discordjs/discord.js,23057,459,49,7528,124.50736111111112,408.0,5121.0
reduxjs/react-redux,https://github.com/reduxjs/react-redux,22778,279,0,1139,18.851944444444445,11.0,730.0
codex-team/editor.js,https://github.com/codex-team/editor.js,22768,64,159,704,194.02069444444444,174.0,952.0
neoclide/coc.nvim,https://github.com/neoclide/coc.nvim,22735,234,4,5640,22.99486111111111,201.0,1133.0
vadimdemedes/ink,https://github.com/vadimdemedes/ink,22491,99,5,549,3105.608888888889,32.0,266.0
pmndrs/react-three-fiber,https://github.com/pmndrs/react-three-fiber,22449,204,18,2399,264.4872222222223,70.0,600.0
react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,22405,185,588,2627,127.11416666666668,2511.0,1672.0
t4t5/sweetalert,https://github.com/t4t5/sweetalert,22244,62,3,363,2518.0526388888893,20.0,290.0
marmelab/react-admin,https://github.com/marmelab/react-admin,22075,549,44,16475,101.14430555555556,1001.0,4747.0
conwnet/github1s,https://github.com/conwnet/github1s,21929,43,0,351,124.60805555555557,13.0,291.0
withfig/autocomplete,https://github.com/withfig/autocomplete,21924,389,11,4267,510.6619444444444,49.0,1437.0
homebridge/homebridge,https://github.com/homebridge/homebridge,21889,108,9,1455,418.7554166666667,284.0,373.0
colinhacks/zod,https://github.com/colinhacks/zod,21842,223,0,1828,0.0,0.0,552.0
backstage/backstage,https://github.com/backstage/backstage,21786,1091,115,40368,88.69125,1649.0,12955.0
felixrieseberg/windows95,https://github.com/felixrieseberg/windows95,21780,16,0,197,0.0,0.0,61.0
react-bootstrap/react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,21697,469,20,4457,94.40263888888887,264.0,3182.0
directus/directus,https://github.com/directus/directus,21485,303,94,10285,113.41208333333331,1529.0,6173.0
reworkd/AgentGPT,https://github.com/reworkd/AgentGPT,21451,36,17,573,80.3,30.0,240.0
TanStack/table,https://github.com/TanStack/table,21404,365,0,2155,0.0,0.0,957.0
youzan/vant,https://github.com/youzan/vant,21284,287,0,9498,0.0,0.0,4850.0
electron-react-boilerplate/electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,21268,158,19,1110,356.6859722222222,343.0,1577.0
refined-github/refined-github,https://github.com/refined-github/refined-github,21049,294,49,3436,67.50625,1381.0,3097.0
lensapp/lens,https://github.com/lensapp/lens,20992,108,417,3913,97.60305555555556,1437.0,4438.0
jhipster/generator-jhipster,https://github.com/jhipster/generator-jhipster,20562,687,0,45071,0.0,0.0,14730.0
BabylonJS/Babylon.js,https://github.com/BabylonJS/Babylon.js,20539,475,0,39911,47.14388888888889,759.0,10944.0
Molunerfinn/PicGo,https://github.com/Molunerfinn/PicGo,20502,15,8,501,0.4547222222222222,219.0,38.0
tailwindlabs/headlessui,https://github.com/tailwindlabs/headlessui,20451,77,0,595,1251.4261111111111,7.0,528.0
novuhq/novu,https://github.com/novuhq/novu,20446,276,8,10928,213.0338888888889,48.0,2295.0
jquense/yup,https://github.com/jquense/yup,20326,154,6,751,4001.646111111111,22.0,485.0
recharts/recharts,https://github.com/recharts/recharts,20241,249,64,2247,3282.6608333333334,150.0,799.0
oldj/SwitchHosts,https://github.com/oldj/SwitchHosts,20162,35,0,1316,0.0,0.0,88.0
Redocly/redoc,https://github.com/Redocly/redoc,20105,239,56,2520,571.8613888888889,182.0,639.0
lensterxyz/lenster,https://github.com/lensterxyz/lenster,20039,75,19,5884,180.69972222222225,36.0,1818.0
palantir/blueprint,https://github.com/palantir/blueprint,19805,379,188,2910,139.54,634.0,3112.0
calcom/cal.com,https://github.com/calcom/cal.com,19520,260,0,5595,0.0,0.0,5007.0
graphql/graphql-js,https://github.com/graphql/graphql-js,19507,200,10,3355,206.85541666666663,26.0,2756.0
railsware/upterm,https://github.com/railsware/upterm,19337,107,0,2998,0.0,0.0,566.0
mantinedev/mantine,https://github.com/mantinedev/mantine,19312,373,0,10251,0.0,0.0,1197.0
outline/outline,https://github.com/outline/outline,19289,130,29,5164,7.009166666666667,1051.0,1931.0
react-dnd/react-dnd,https://github.com/react-dnd/react-dnd,19198,201,3,2229,687.7118055555557,52.0,1906.0
ueberdosis/tiptap,https://github.com/ueberdosis/tiptap,18959,232,171,5811,174.8663888888889,1064.0,778.0
fingerprintjs/fingerprintjs,https://github.com/fingerprintjs/fingerprintjs,18950,88,5,751,2403.505833333333,51.0,307.0
reduxjs/reselect,https://github.com/reduxjs/reselect,18890,94,1,735,5848.001388888889,1.0,216.0
wenyan-lang/wenyan,https://github.com/wenyan-lang/wenyan,18879,56,1,915,60.01,5.0,199.0
GoogleChromeLabs/squoosh,https://github.com/GoogleChromeLabs/squoosh,18772,73,3,1459,9973.200277777778,14.0,783.0
apollographql/apollo-client,https://github.com/apollographql/apollo-client,18689,748,0,11633,0.0,0.0,5686.0
framer/motion,https://github.com/framer/motion,18575,76,158,4588,38.62722222222222,726.0,805.0
elastic/kibana,https://github.com/elastic/kibana,18457,2320,1760,63156,97.64652777777778,15392.0,102791.0
Budibase/budibase,https://github.com/Budibase/budibase,18242,75,169,31322,95.7626388888889,1612.0,2961.0
alan2207/bulletproof-react,https://github.com/alan2207/bulletproof-react,18144,28,0,162,0.0,0.0,58.0
eclipse-theia/theia,https://github.com/eclipse-theia/theia,18060,296,373,6464,145.68833333333333,1352.0,5421.0
medusajs/medusa,https://github.com/medusajs/medusa,17993,147,57,3475,26.719166666666663,217.0,2919.0
GrapesJS/grapesjs,https://github.com/GrapesJS/grapesjs,17859,144,4,5361,259.5315277777778,146.0,522.0
reduxjs/redux-thunk,https://github.com/reduxjs/redux-thunk,17575,55,0,194,0.0,0.0,127.0
alibaba/ice,https://github.com/alibaba/ice,17543,113,74,2775,193.6076388888889,194.0,3361.0
nrwl/nx,https://github.com/nrwl/nx,17482,705,326,9184,17.84847222222222,4291.0,8946.0
the1812/Bilibili-Evolved,https://github.com/the1812/Bilibili-Evolved,17449,34,41,7303,496.06375,335.0,321.0
web3/web3.js,https://github.com/web3/web3.js,17432,240,40,3664,488.37458333333336,630.0,2288.0
t3-oss/create-t3-app,https://github.com/t3-oss/create-t3-app,17287,233,0,1059,0.0,0.0,997.0
desktop/desktop,https://github.com/desktop/desktop,17195,370,157,34136,309.08444444444444,896.0,5283.0
BuilderIO/qwik,https://github.com/BuilderIO/qwik,17155,342,150,2547,22.73513888888889,710.0,2668.0
airbnb/visx,https://github.com/airbnb/visx,17107,152,0,3156,0.0,0.0,698.0
material-components/material-components-web,https://github.com/material-components/material-components-web,16772,388,151,7391,119.28527777777778,590.0,4987.0
teambit/bit,https://github.com/teambit/bit,16623,72,0,11773,0.0,0.0,5486.0
darkreader/darkreader,https://github.com/darkreader/darkreader,16620,1082,227,6744,29.470972222222223,798.0,6683.0
nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,16438,536,6,2266,21.83708333333333,453.0,1784.0
wulkano/Kap,https://github.com/wulkano/Kap,16427,53,22,905,591.7608333333333,117.0,416.0
fullcalendar/fullcalendar,https://github.com/fullcalendar/fullcalendar,16357,128,0,6357,0.0,0.0,581.0
sismo-core/sismo-badges,https://github.com/sismo-core/sismo-badges,16141,7,0,307,0.0,0.0,65.0
redis/node-redis,https://github.com/redis/node-redis,16141,224,66,1878,64.10625,427.0,828.0
wechaty/wechaty,https://github.com/wechaty/wechaty,16131,85,22,7083,71.56097222222223,180.0,880.0
ustbhuangyi/better-scroll,https://github.com/ustbhuangyi/better-scroll,16067,37,0,2001,301.7108333333333,18.0,210.0
redwoodjs/redwood,https://github.com/redwoodjs/redwood,15955,361,0,8639,0.0,0.0,6294.0
nhn/tui.editor,https://github.com/nhn/tui.editor,15925,125,231,361,526.9659722222223,378.0,1511.0
toeverything/AFFiNE,https://github.com/toeverything/AFFiNE,15870,76,46,3054,21.759722222222223,252.0,1387.0
remotion-dev/remotion,https://github.com/remotion-dev/remotion,15832,154,8,11140,42.57458333333334,234.0,1298.0
yetone/openai-translator,https://github.com/yetone/openai-translator,15722,53,98,428,23.685277777777777,69.0,197.0
CopyTranslator/CopyTranslator,https://github.com/CopyTranslator/CopyTranslator,15652,9,6,770,734.9216666666666,31.0,96.0
Tencent/vConsole,https://github.com/Tencent/vConsole,15633,54,0,929,44.22527777777778,1.0,189.0
flatpickr/flatpickr,https://github.com/flatpickr/flatpickr,15554,244,15,2867,114.54777777777778,49.0,644.0
wangeditor-team/wangEditor,https://github.com/wangeditor-team/wangEditor,15486,45,38,2410,781.5819444444444,303.0,572.0
wbkd/react-flow,https://github.com/wbkd/react-flow,15456,64,1,3454,287.7216666666667,31.0,1051.0
microsoft/fluentui,https://github.com/microsoft/fluentui,15393,796,0,16057,0.0,0.0,16131.0
vueuse/vueuse,https://github.com/vueuse/vueuse,15159,469,0,2687,582.6176388888889,22.0,1687.0
mattermost/focalboard,https://github.com/mattermost/focalboard,15057,274,230,3584,305.1918055555556,1313.0,2318.0
justadudewhohacks/face-api.js,https://github.com/justadudewhohacks/face-api.js,14975,22,6,488,120.77833333333332,4.0,106.0
airbnb/react-sketchapp,https://github.com/airbnb/react-sketchapp,14965,81,3,780,1787.2047222222222,39.0,227.0
