nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada,CommitsPerPullrequests,CycleComplexity,CodeSmell,medianBugFixTime,total_issues
nativefier/nativefier,https://github.com/nativefier/nativefier,33534,136,103,1278,286.0,322.0,Typescript,Tipada,3.968944099378882,1106.0,24.0,70.3788888888889,389.0
NervJS/taro,https://github.com/NervJS/taro,32869,504,8,9859,105.0,3511.0,Typescript,Tipada,2.808031899743663,19672.0,1786.0,566.3877777777777,113.0
chakra-ui/chakra-ui,https://github.com/chakra-ui/chakra-ui,32598,584,0,8906,0.0,2883.0,Typescript,Tipada,3.0891432535553243,6186.0,190.0,0.0,0.0
immutable-js/immutable-js,https://github.com/immutable-js/immutable-js,32570,212,5,1718,70.0,714.0,Typescript,Tipada,2.4061624649859943,3754.0,438.0,4651.792638888888,75.0
date-fns/date-fns,https://github.com/date-fns/date-fns,31500,373,0,1931,0.0,1542.0,Typescript,Tipada,1.2522697795071336,6255.0,434.0,0.0,0.0
prisma/prisma,https://github.com/prisma/prisma,31219,223,0,9222,0.0,5405.0,Typescript,Tipada,1.7061979648473635,2340.0,179.0,0.0,0.0
typeorm/typeorm,https://github.com/typeorm/typeorm,31168,976,1115,5256,1292.0,2585.0,Typescript,Tipada,2.0332688588007737,266.0,29.0,259.06652777777776,2407.0
appwrite/appwrite,https://github.com/appwrite/appwrite,31075,294,125,15011,753.0,2647.0,Typescript,Tipada,5.670948243294295,6574.0,8628.0,80.79875,878.0
pmndrs/zustand,https://github.com/pmndrs/zustand,30575,198,1,888,6.0,576.0,Typescript,Tipada,1.5416666666666667,77.0,3.0,1072.0156944444443,7.0
withastro/astro,https://github.com/withastro/astro,30175,507,0,5438,0.0,4208.0,Typescript,Tipada,1.292300380228137,10615.0,607.0,0.0,0.0
n8n-io/n8n,https://github.com/n8n-io/n8n,30089,332,0,8594,0.0,5149.0,Typescript,Tipada,1.6690619537774325,43331.0,1948.0,0.0,0.0
ReactiveX/rxjs,https://github.com/ReactiveX/rxjs,28842,544,16,5265,194.0,3805.0,Typescript,Tipada,1.3837056504599212,4484.0,469.0,1412.4069444444444,210.0
niklasvh/html2canvas,https://github.com/niklasvh/html2canvas,28159,50,35,1066,75.0,472.0,Typescript,Tipada,2.2584745762711864,2376.0,158.0,2826.2891666666665,110.0
solidjs/solid,https://github.com/solidjs/solid,27496,140,4,1605,187.0,361.0,Typescript,Tipada,4.445983379501385,3999.0,420.0,96.70930555555556,191.0
postcss/postcss,https://github.com/postcss/postcss,27458,374,1,3880,73.0,868.0,Typescript,Tipada,4.470046082949309,399.0,2.0,139.10583333333332,74.0
ianstormtaylor/slate,https://github.com/ianstormtaylor/slate,26995,538,283,4056,763.0,2268.0,Typescript,Tipada,1.7883597883597884,19913.0,11467.0,160.3070833333333,1046.0
lyswhut/lx-music-desktop,https://github.com/lyswhut/lx-music-desktop,26836,7,7,1944,57.0,65.0,Typescript,Tipada,29.907692307692308,9123.0,554.0,197.1588888888889,64.0
vercel/swr,https://github.com/vercel/swr,26649,475,8,774,85.0,822.0,Typescript,Tipada,0.9416058394160584,3094.0,59.0,281.5130555555556,93.0
slidevjs/slidev,https://github.com/slidevjs/slidev,26526,118,0,1378,12.0,278.0,Typescript,Tipada,4.956834532374101,1900.0,106.0,21.92625,12.0
mobxjs/mobx,https://github.com/mobxjs/mobx,26427,309,0,3211,0.0,1229.0,Typescript,Tipada,2.612693246541904,11397.0,1806.0,0.0,0.0
cheeriojs/cheerio,https://github.com/cheeriojs/cheerio,26333,130,0,2536,0.0,2032.0,Typescript,Tipada,1.248031496062992,259.0,25.0,0.0,0.0
JedWatson/react-select,https://github.com/JedWatson/react-select,26094,423,0,4220,0.0,1702.0,Typescript,Tipada,2.4794359576968272,2097.0,134.0,0.0,0.0
angular/angular-cli,https://github.com/angular/angular-cli,26071,599,0,10446,0.0,10540.0,Typescript,Tipada,0.9910815939278936,13547.0,510.0,0.0,0.0
pmndrs/react-spring,https://github.com/pmndrs/react-spring,25631,185,0,3476,0.0,510.0,Typescript,Tipada,6.815686274509804,16855.0,11376.0,0.0,0.0
balena-io/etcher,https://github.com/balena-io/etcher,25489,85,0,3330,264.0,2001.0,Typescript,Tipada,1.6641679160419791,639.0,9.0,1245.5891666666666,264.0
trpc/trpc,https://github.com/trpc/trpc,25369,277,0,3080,0.0,3021.0,Typescript,Tipada,1.0195299569678915,910.0,201.0,0.0,0.0
mattermost/mattermost-server,https://github.com/mattermost/mattermost-server,25344,766,0,16785,0.0,15852.0,Typescript,Tipada,1.0588569265707797,87674.0,6476.0,0.0,0.0
floating-ui/floating-ui,https://github.com/floating-ui/floating-ui,25333,75,1,1808,295.0,970.0,Typescript,Tipada,1.863917525773196,3599.0,102.0,62.81375,296.0
AykutSarac/jsoncrack.com,https://github.com/AykutSarac/jsoncrack.com,23942,22,15,1049,48.0,107.0,Typescript,Tipada,9.80373831775701,790.0,15.0,675.0383333333334,63.0
Yidadaa/ChatGPT-Next-Web,https://github.com/Yidadaa/ChatGPT-Next-Web,23814,63,0,673,34.0,429.0,Typescript,Tipada,1.5687645687645688,982.0,58.0,20.685833333333328,34.0
statelyai/xstate,https://github.com/statelyai/xstate,23703,313,37,5241,349.0,1677.0,Typescript,Tipada,3.1252236135957068,5512.0,721.0,68.71972222222223,386.0
react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,23616,379,0,2389,0.0,1609.0,Typescript,Tipada,1.4847731510254816,17462.0,11438.0,0.0,0.0
vuejs/devtools,https://github.com/vuejs/devtools,23606,174,21,2082,108.0,420.0,Typescript,Tipada,4.957142857142857,4055.0,155.0,185.88583333333327,129.0
pnpm/pnpm,https://github.com/pnpm/pnpm,23585,205,618,8280,941.0,2481.0,Typescript,Tipada,3.3373639661426844,3790.0,170.0,26.684444444444445,1559.0
angular/components,https://github.com/angular/components,23490,699,0,10700,0.0,12880.0,Typescript,Tipada,0.8307453416149069,1641.0,177.0,0.0,0.0
remix-run/remix,https://github.com/remix-run/remix,23354,948,34,3991,337.0,2980.0,Typescript,Tipada,1.339261744966443,522.0,39.0,254.38402777777776,371.0
doczjs/docz,https://github.com/doczjs/docz,23261,135,3,1609,191.0,485.0,Typescript,Tipada,3.3175257731958765,1350.0,62.0,1082.5629166666668,194.0
discordjs/discord.js,https://github.com/discordjs/discord.js,23057,459,49,7528,409.0,5121.0,Typescript,Tipada,1.470025385666862,5999.0,610.0,121.87291666666668,458.0
reduxjs/react-redux,https://github.com/reduxjs/react-redux,22778,279,0,1139,11.0,730.0,Typescript,Tipada,1.5602739726027397,1619.0,523.0,18.851944444444445,11.0
codex-team/editor.js,https://github.com/codex-team/editor.js,22768,64,159,704,176.0,952.0,Typescript,Tipada,0.7394957983193278,1364.0,108.0,194.02069444444444,335.0
neoclide/coc.nvim,https://github.com/neoclide/coc.nvim,22735,234,4,5640,201.0,1133.0,Typescript,Tipada,4.977934686672551,2813.0,110.0,22.99486111111111,205.0
vadimdemedes/ink,https://github.com/vadimdemedes/ink,22491,99,5,549,32.0,266.0,Typescript,Tipada,2.06390977443609,1188.0,134.0,3105.608888888889,37.0
