nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada
google/ExoPlayer,https://github.com/google/ExoPlayer,20688,242,142,15057.0,1126,1179.0,Java,Tipada
ReactiveX/RxAndroid,https://github.com/ReactiveX/RxAndroid,19779,92,0,543.0,0,238.0,Java,Tipada
elunez/eladmin,https://github.com/elunez/eladmin,19682,53,2,509.0,5,160.0,Java,Tipada
didi/DoKit,https://github.com/didi/DoKit,19444,106,10,2314.0,12,448.0,Java,Tipada
apache/rocketmq,https://github.com/apache/rocketmq,19191,473,0,8078.0,0,3284.0,Java,Tipada
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,18916,31,1,184.0,0,130.0,Java,Tipada
oracle/graal,https://github.com/oracle/graal,18539,1401,343,74124.0,1129,2902.0,Java,Tipada
CarGuo/GSYVideoPlayer,https://github.com/CarGuo/GSYVideoPlayer,18522,20,0,1489.0,0,56.0,Java,Tipada
Baseflow/PhotoView,https://github.com/Baseflow/PhotoView,18505,43,3,462.0,36,153.0,Java,Tipada
mybatis/mybatis-3,https://github.com/mybatis/mybatis-3,18462,206,4,4617.0,125,1618.0,Java,Tipada
apache/shardingsphere,https://github.com/apache/shardingsphere,18338,516,0,38611.0,0,16302.0,Java,Tipada
brettwooldridge/HikariCP,https://github.com/brettwooldridge/HikariCP,18143,127,0,2835.0,106,398.0,Java,Tipada
linlinjava/litemall,https://github.com/linlinjava/litemall,17972,58,1,1181.0,4,173.0,Java,Tipada
Anuken/Mindustry,https://github.com/Anuken/Mindustry,17851,519,0,16333.0,2553,4767.0,Java,Tipada
dianping/cat,https://github.com/dianping/cat,17724,89,0,7410.0,2,1068.0,Java,Tipada
forezp/SpringCloudLearning,https://github.com/forezp/SpringCloudLearning,17284,1,0,72.0,0,13.0,Java,Tipada
facebook/fresco,https://github.com/facebook/fresco,16942,315,57,3520.0,261,419.0,Java,Tipada
nostra13/Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader,16806,38,15,1038.0,74,152.0,Java,Tipada
Tencent/tinker,https://github.com/Tencent/tinker,16758,36,32,815.0,59,153.0,Java,Tipada
yudaocode/SpringBoot-Labs,https://github.com/yudaocode/SpringBoot-Labs,16750,4,2,678.0,4,29.0,Java,Tipada
shuzheng/zheng,https://github.com/shuzheng/zheng,16499,9,0,1241.0,0,135.0,Java,Tipada
OpenAPITools/openapi-generator,https://github.com/OpenAPITools/openapi-generator,16324,2467,0,18443.0,0,8765.0,Java,Tipada
winterbe/java8-tutorial,https://github.com/winterbe/java8-tutorial,16284,11,0,150.0,0,47.0,Java,Tipada
iBotPeaches/Apktool,https://github.com/iBotPeaches/Apktool,16231,94,46,1929.0,169,387.0,Java,Tipada
openzipkin/zipkin,https://github.com/openzipkin/zipkin,16158,161,48,2727.0,150,2188.0,Java,Tipada
LMAX-Exchange/disruptor,https://github.com/LMAX-Exchange/disruptor,15955,65,0,1324.0,7,157.0,Java,Tipada
keycloak/keycloak,https://github.com/keycloak/keycloak,15919,877,0,21916.0,0,11448.0,Java,Tipada
openjdk/jdk,https://github.com/openjdk/jdk,15805,683,0,73713.0,0,13936.0,Java,Tipada
JeffLi1993/springboot-learning-example,https://github.com/JeffLi1993/springboot-learning-example,15434,3,0,168.0,0,65.0,Java,Tipada
android10/Android-CleanArchitecture,https://github.com/android10/Android-CleanArchitecture,15328,11,0,248.0,1,58.0,Java,Tipada
Tencent/APIJSON,https://github.com/Tencent/APIJSON,15218,60,0,3060.0,0,120.0,Java,Tipada
dyc87112/SpringBoot-Learning,https://github.com/dyc87112/SpringBoot-Learning,15138,1,0,495.0,0,40.0,Java,Tipada
medcl/elasticsearch-analysis-ik,https://github.com/medcl/elasticsearch-analysis-ik,15064,36,0,259.0,0,105.0,Java,Tipada
material-components/material-components-android,https://github.com/material-components/material-components-android,14920,182,212,5202.0,1491,544.0,Java,Tipada
justauth/JustAuth,https://github.com/justauth/JustAuth,14728,34,3,711.0,12,69.0,Java,Tipada
williamfiset/Algorithms,https://github.com/williamfiset/Algorithms,14687,50,2,1603.0,3,204.0,Java,Tipada
prestodb/presto,https://github.com/prestodb/presto,14676,749,96,21041.0,519,14186.0,Java,Tipada
baomidou/mybatis-plus,https://github.com/baomidou/mybatis-plus,14472,140,0,5313.0,2,725.0,Java,Tipada
hdodenhof/CircleImageView,https://github.com/hdodenhof/CircleImageView,14415,14,1,160.0,2,58.0,Java,Tipada
antlr/antlr4,https://github.com/antlr/antlr4,14391,312,0,9107.0,0,1943.0,Java,Tipada
android-hacker/VirtualXposed,https://github.com/android-hacker/VirtualXposed,14342,38,6,1661.0,20,70.0,Java,Tipada
alibaba/ARouter,https://github.com/alibaba/ARouter,14178,22,1,301.0,2,151.0,Java,Tipada
Tencent/QMUI_Android,https://github.com/Tencent/QMUI_Android,14049,25,16,1007.0,26,39.0,Java,Tipada
mockito/mockito,https://github.com/mockito/mockito,13920,272,9,5923.0,66,1498.0,Java,Tipada
YunaiV/ruoyi-vue-pro,https://github.com/YunaiV/ruoyi-vue-pro,13816,138,0,4085.0,59,52.0,Java,Tipada
Konloch/bytecode-viewer,https://github.com/Konloch/bytecode-viewer,13709,40,40,1153.0,47,139.0,Java,Tipada
thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,13597,161,265,13837.0,563,3544.0,Java,Tipada
orhanobut/logger,https://github.com/orhanobut/logger,13580,11,3,146.0,10,62.0,Java,Tipada
lgvalle/Material-Animations,https://github.com/lgvalle/Material-Animations,13565,9,0,76.0,0,24.0,Java,Tipada
ben-manes/caffeine,https://github.com/ben-manes/caffeine,13549,57,0,1672.0,1,239.0,Java,Tipada
eclipse-vertx/vert.x,https://github.com/eclipse-vertx/vert.x,13535,244,57,5657.0,412,2150.0,Java,Tipada
arduino/Arduino,https://github.com/arduino/Arduino,13526,263,0,7375.0,0,1494.0,Java,Tipada
apache/hadoop,https://github.com/apache/hadoop,13486,548,0,26612.0,0,5638.0,Java,Tipada
elastic/logstash,https://github.com/elastic/logstash,13440,2215,290,10396.0,969,8560.0,Java,Tipada
alibaba/DataX,https://github.com/alibaba/DataX,13368,78,3,551.0,4,438.0,Java,Tipada
Bigkoo/Android-PickerView,https://github.com/Bigkoo/Android-PickerView,13286,16,1,493.0,10,78.0,Java,Tipada
