nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada,CommitsPerPullrequests,CycleComplexity,CodeSmell,medianBugFixTime
alibaba/COLA,https://github.com/alibaba/COLA,9690,26,0,379.0,0.0,154.0,Java,Tipada,2.461038961038961,1044,487,0.0
googlesamples/easypermissions,https://github.com/googlesamples/easypermissions,9680,39,3,184.0,10.0,117.0,Java,Tipada,1.5726495726495726,333,120,598.463888888889
liaohuqiu/android-Ultra-Pull-To-Refresh,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh,9618,9,0,182.0,0.0,49.0,Java,Tipada,3.7142857142857135,917,185,0.0
ksoichiro/Android-ObservableScrollView,https://github.com/ksoichiro/Android-ObservableScrollView,9617,14,0,383.0,0.0,25.0,Java,Tipada,15.32,2163,369,0.0
paascloud/paascloud-master,https://github.com/paascloud/paascloud-master,9586,6,0,46.0,0.0,46.0,Java,Tipada,1.0,2602,1017,0.0
OpenRefine/OpenRefine,https://github.com/OpenRefine/OpenRefine,9471,303,159,7552.0,1108.0,2984.0,Java,Tipada,2.5308310991957104,22907,11351,107.94291666666668
perwendel/spark,https://github.com/perwendel/spark,9470,137,19,1067.0,23.0,525.0,Java,Tipada,2.032380952380952,2103,529,5355.502777777778
umano/AndroidSlidingUpPanel,https://github.com/umano/AndroidSlidingUpPanel,9461,49,4,361.0,27.0,168.0,Java,Tipada,2.148809523809524,531,38,1943.485
cryptomator/cryptomator,https://github.com/cryptomator/cryptomator,9272,49,0,4451.0,624.0,302.0,Java,Tipada,14.73841059602649,2176,271,193.69208333333336
metersphere/metersphere,https://github.com/metersphere/metersphere,9185,54,0,15753.0,0.0,16544.0,Java,Tipada,0.9521881044487428,87000,14992,0.0
navasmdc/MaterialDesignLibrary,https://github.com/navasmdc/MaterialDesignLibrary,9044,11,0,74.0,0.0,92.0,Java,Tipada,0.8043478260869565,528,122,0.0
jwtk/jjwt,https://github.com/jwtk/jjwt,9030,50,2,514.0,12.0,266.0,Java,Tipada,1.932330827067669,1307,295,784.8768055555556
GcsSloop/AndroidNote,https://github.com/GcsSloop/AndroidNote,8887,4,0,1375.0,0.0,15.0,Java,Tipada,91.66666666666669,62,15,0.0
nathanmarz/storm,https://github.com/nathanmarz/storm,8880,48,0,1764.0,0.0,304.0,Java,Tipada,5.802631578947368,12778,6272,0.0
Justson/AgentWeb,https://github.com/Justson/AgentWeb,8853,7,1,1027.0,2.0,19.0,Java,Tipada,54.05263157894737,2285,577,3897.475138888889
barry-ran/QtScrcpy,https://github.com/barry-ran/QtScrcpy,9450,19,6,736.0,1.0,106.0,Java,Tipada,6.943396226415095,755,51,4634.810277777778
hackware1993/MagicIndicator,https://github.com/hackware1993/MagicIndicator,9426,1,0,3.0,2.0,13.0,Java,Tipada,0.2307692307692307,852,79,34.55597222222222
bilibili/DanmakuFlameMaster,https://github.com/bilibili/DanmakuFlameMaster,9423,38,6,1126.0,7.0,63.0,Java,Tipada,17.873015873015873,2426,616,269.0336111111111
pockethub/PocketHub,https://github.com/pockethub/PocketHub,9411,118,3,3512.0,47.0,629.0,Java,Tipada,5.583465818759937,2843,249,434.1080555555556
MyCATApache/Mycat-Server,https://github.com/MyCATApache/Mycat-Server,9393,101,79,2881.0,40.0,1219.0,Java,Tipada,2.3634126333059884,21027,5881,167.55416666666667
koral--/android-gif-drawable,https://github.com/koral--/android-gif-drawable,9357,25,2,1144.0,123.0,138.0,Java,Tipada,8.289855072463768,780,17,114.50097222222222
lzyzsd/JsBridge,https://github.com/lzyzsd/JsBridge,9322,19,1,108.0,0.0,37.0,Java,Tipada,2.918918918918919,248,96,0.0
lihengming/spring-boot-api-project-seed,https://github.com/lihengming/spring-boot-api-project-seed,9300,1,0,108.0,2.0,38.0,Java,Tipada,2.8421052631578947,87,41,62.785694444444445
asLody/VirtualApp,https://github.com/asLody/VirtualApp,9279,41,0,1344.0,0.0,192.0,Java,Tipada,7.0,7944,3595,0.0
didi/VirtualAPK,https://github.com/didi/VirtualAPK,8834,21,2,114.0,6.0,32.0,Java,Tipada,3.5625,1333,700,742.6191666666666
crossoverJie/cim,https://github.com/crossoverJie/cim,8829,7,0,347.0,5.0,39.0,Java,Tipada,8.897435897435898,1107,375,3902.473055555556
