nameWithOwner,url,stargazers,mentionableUsers,openIssues,closedIssues,commitsCount
apache/shardingsphere,https://github.com/apache/shardingsphere,18338,516,0,0,38611
brettwooldridge/HikariCP,https://github.com/brettwooldridge/HikariCP,18143,127,0,106,2835
linlinjava/litemall,https://github.com/linlinjava/litemall,17972,58,1,4,1181
Anuken/Mindustry,https://github.com/Anuken/Mindustry,17851,519,0,2553,16333
dianping/cat,https://github.com/dianping/cat,17724,89,0,2,7410
forezp/SpringCloudLearning,https://github.com/forezp/SpringCloudLearning,17284,1,0,0,72
facebook/fresco,https://github.com/facebook/fresco,16942,315,57,261,3520
nostra13/Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader,16806,38,15,74,1038
Tencent/tinker,https://github.com/Tencent/tinker,16758,36,32,59,815
yudaocode/SpringBoot-Labs,https://github.com/yudaocode/SpringBoot-Labs,16750,4,2,4,678
shuzheng/zheng,https://github.com/shuzheng/zheng,16499,9,0,0,1241
OpenAPITools/openapi-generator,https://github.com/OpenAPITools/openapi-generator,16324,2467,0,0,18443
winterbe/java8-tutorial,https://github.com/winterbe/java8-tutorial,16284,11,0,0,150
iBotPeaches/Apktool,https://github.com/iBotPeaches/Apktool,16231,94,46,169,1929
openzipkin/zipkin,https://github.com/openzipkin/zipkin,16158,161,48,150,2727
LMAX-Exchange/disruptor,https://github.com/LMAX-Exchange/disruptor,15955,65,0,7,1324
keycloak/keycloak,https://github.com/keycloak/keycloak,15919,877,0,0,21916
openjdk/jdk,https://github.com/openjdk/jdk,15805,683,0,0,73713
JeffLi1993/springboot-learning-example,https://github.com/JeffLi1993/springboot-learning-example,15434,3,0,0,168
android10/Android-CleanArchitecture,https://github.com/android10/Android-CleanArchitecture,15328,11,0,1,248
Tencent/APIJSON,https://github.com/Tencent/APIJSON,15218,60,0,0,3060
dyc87112/SpringBoot-Learning,https://github.com/dyc87112/SpringBoot-Learning,15138,1,0,0,495
medcl/elasticsearch-analysis-ik,https://github.com/medcl/elasticsearch-analysis-ik,15064,36,0,0,259
material-components/material-components-android,https://github.com/material-components/material-components-android,14920,182,212,1491,5202
justauth/JustAuth,https://github.com/justauth/JustAuth,14728,34,3,12,711
williamfiset/Algorithms,https://github.com/williamfiset/Algorithms,14687,50,2,3,1603
prestodb/presto,https://github.com/prestodb/presto,14676,749,96,519,21041
baomidou/mybatis-plus,https://github.com/baomidou/mybatis-plus,14472,140,0,2,5313
hdodenhof/CircleImageView,https://github.com/hdodenhof/CircleImageView,14415,14,1,2,160
antlr/antlr4,https://github.com/antlr/antlr4,14391,312,0,0,9107
android-hacker/VirtualXposed,https://github.com/android-hacker/VirtualXposed,14342,38,6,20,1661
alibaba/ARouter,https://github.com/alibaba/ARouter,14178,22,1,2,301
Tencent/QMUI_Android,https://github.com/Tencent/QMUI_Android,14049,25,16,26,1007
mockito/mockito,https://github.com/mockito/mockito,13920,272,9,66,5923
heibaiying/BigData-Notes,https://github.com/heibaiying/BigData-Notes,13829,7,0,0,607
YunaiV/ruoyi-vue-pro,https://github.com/YunaiV/ruoyi-vue-pro,13816,138,0,59,4085
Konloch/bytecode-viewer,https://github.com/Konloch/bytecode-viewer,13709,40,40,47,1153
thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,13597,161,265,563,13837
orhanobut/logger,https://github.com/orhanobut/logger,13580,11,3,10,146
lgvalle/Material-Animations,https://github.com/lgvalle/Material-Animations,13565,9,0,0,76
ben-manes/caffeine,https://github.com/ben-manes/caffeine,13549,57,0,1,1672
eclipse-vertx/vert.x,https://github.com/eclipse-vertx/vert.x,13535,244,57,412,5657
arduino/Arduino,https://github.com/arduino/Arduino,13526,263,0,0,7375
apache/hadoop,https://github.com/apache/hadoop,13486,548,0,0,26612
elastic/logstash,https://github.com/elastic/logstash,13440,2215,290,969,10396
zhisheng17/flink-learning,https://github.com/zhisheng17/flink-learning,13425,5,0,0,446
alibaba/DataX,https://github.com/alibaba/DataX,13368,78,3,4,551
Bigkoo/Android-PickerView,https://github.com/Bigkoo/Android-PickerView,13286,16,1,10,493
Curzibn/Luban,https://github.com/Curzibn/Luban,13243,9,0,5,187
Grasscutters/Grasscutter,https://github.com/Grasscutters/Grasscutter,13136,177,41,358,1951
google/tink,https://github.com/google/tink,13134,118,0,7,6342
JessYanCoding/AndroidAutoSize,https://github.com/JessYanCoding/AndroidAutoSize,12971,4,0,0,333
deeplearning4j/deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,12926,62,108,1170,2677
seaswalker/spring-analysis,https://github.com/seaswalker/spring-analysis,12861,4,0,0,101
pinpoint-apm/pinpoint,https://github.com/pinpoint-apm/pinpoint,12743,118,12,344,13040
GoogleContainerTools/jib,https://github.com/GoogleContainerTools/jib,12736,125,0,0,2268
facebookarchive/stetho,https://github.com/facebookarchive/stetho,12644,55,2,37,588
apache/pulsar,https://github.com/apache/pulsar,12634,633,0,0,11556
Netflix/zuul,https://github.com/Netflix/zuul,12600,605,5,8,1473
apache/druid,https://github.com/apache/druid,12584,567,222,504,12695
greenrobot/greenDAO,https://github.com/greenrobot/greenDAO,12577,6,7,29,883
java-decompiler/jd-gui,https://github.com/java-decompiler/jd-gui,12465,9,0,3,253
LuckSiege/PictureSelector,https://github.com/LuckSiege/PictureSelector,12413,9,0,1,3893
zhihu/Matisse,https://github.com/zhihu/Matisse,12410,32,8,10,223
youth5201314/banner,https://github.com/youth5201314/banner,12371,11,1,1,237
sqshq/piggymetrics,https://github.com/sqshq/piggymetrics,12316,14,0,0,290
daimajia/AndroidSwipeLayout,https://github.com/daimajia/AndroidSwipeLayout,12294,19,1,8,175
