nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada,CommitsPerPullrequests,CycleComplexity,CodeSmell,medianBugFixTime,total_issues
marktext/marktext,https://github.com/marktext/marktext,39662,140,0,1599.0,0.0,1059.0,Javascript,NaoTipada,1.5099150141643058,4029,161,0.0,0.0
nwjs/nw.js,https://github.com/nwjs/nw.js,39573,108,478,4951.0,432.0,826.0,Javascript,NaoTipada,5.993946731234867,2362,858,191.5688888888889,910.0
Unitech/pm2,https://github.com/Unitech/pm2,39000,274,0,4998.0,0.0,856.0,Javascript,NaoTipada,5.838785046728972,2348,879,0.0,0.0
Dogfalo/materialize,https://github.com/Dogfalo/materialize,38827,260,33,3878.0,211.0,1441.0,Javascript,NaoTipada,2.6911866759195004,2524,566,3181.987222222222,244.0
dcloudio/uni-app,https://github.com/dcloudio/uni-app,38048,201,23,10183.0,266.0,330.0,Javascript,NaoTipada,30.85757575757576,21845,7981,148.60458333333332,289.0
agalwood/Motrix,https://github.com/agalwood/Motrix,37628,67,0,1142.0,0.0,254.0,Javascript,NaoTipada,4.496062992125984,2083,24,0.0,0.0
GitSquared/edex-ui,https://github.com/GitSquared/edex-ui,37569,57,5,1428.0,49.0,475.0,Javascript,NaoTipada,3.006315789473684,4101,181,51.58722222222222,54.0
Leaflet/Leaflet,https://github.com/Leaflet/Leaflet,37460,788,109,7644.0,775.0,3813.0,Javascript,NaoTipada,2.004720692368214,4532,137,14.917638888888888,884.0
google/zx,https://github.com/google/zx,37259,46,3,480.0,8.0,209.0,Javascript,NaoTipada,2.2966507177033493,362,19,1207.8377777777778,11.0
impress/impress.js,https://github.com/impress/impress.js,37191,83,0,413.0,5.0,374.0,Javascript,NaoTipada,1.10427807486631,1489,1246,188.8205555555556,5.0
iamadamdev/bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,36770,54,0,616.0,1.0,194.0,Javascript,NaoTipada,3.1752577319587627,378,15,1977.338888888889,1.0
